COUNTY,Date,test_date,new_positives,county
Alger,6/15/2020,2020-06-15,0,Alger
Alger,6/16/2020,2020-06-16,0,Alger
Alger,6/17/2020,2020-06-17,1,Alger
Alger,6/18/2020,2020-06-18,0,Alger
Alger,6/19/2020,2020-06-19,0,Alger
Alger,6/20/2020,2020-06-20,0,Alger
Alger,6/21/2020,2020-06-21,0,Alger
Alger,6/22/2020,2020-06-22,0,Alger
Alger,6/23/2020,2020-06-23,0,Alger
Alger,6/24/2020,2020-06-24,0,Alger
Alger,6/25/2020,2020-06-25,1,Alger
Alger,6/26/2020,2020-06-26,0,Alger
Alger,6/27/2020,2020-06-27,1,Alger
Alger,6/28/2020,2020-06-28,0,Alger
Alger,6/29/2020,2020-06-29,0,Alger
Alger,6/30/2020,2020-06-30,0,Alger
Alger,7/1/2020,2020-07-01,0,Alger
Alger,7/2/2020,2020-07-02,0,Alger
Alger,7/3/2020,2020-07-03,0,Alger
Alger,7/4/2020,2020-07-04,0,Alger
Alger,7/5/2020,2020-07-05,0,Alger
Alger,7/6/2020,2020-07-06,0,Alger
Allegan,3/1/2020,2020-03-01,0,Allegan
Allegan,3/2/2020,2020-03-02,0,Allegan
Allegan,3/3/2020,2020-03-03,0,Allegan
Allegan,3/4/2020,2020-03-04,0,Allegan
Allegan,3/5/2020,2020-03-05,0,Allegan
Allegan,3/6/2020,2020-03-06,0,Allegan
Allegan,3/7/2020,2020-03-07,0,Allegan
Allegan,3/8/2020,2020-03-08,0,Allegan
Allegan,3/9/2020,2020-03-09,0,Allegan
Allegan,3/10/2020,2020-03-10,0,Allegan
Allegan,3/11/2020,2020-03-11,0,Allegan
Allegan,3/12/2020,2020-03-12,0,Allegan
Allegan,3/13/2020,2020-03-13,0,Allegan
Allegan,3/14/2020,2020-03-14,0,Allegan
Allegan,3/15/2020,2020-03-15,1,Allegan
Allegan,3/16/2020,2020-03-16,0,Allegan
Allegan,3/17/2020,2020-03-17,0,Allegan
Allegan,3/18/2020,2020-03-18,0,Allegan
Allegan,3/19/2020,2020-03-19,0,Allegan
Allegan,3/20/2020,2020-03-20,1,Allegan
Allegan,3/21/2020,2020-03-21,0,Allegan
Allegan,3/22/2020,2020-03-22,0,Allegan
Allegan,3/23/2020,2020-03-23,0,Allegan
Allegan,3/24/2020,2020-03-24,1,Allegan
Allegan,3/25/2020,2020-03-25,3,Allegan
Allegan,3/26/2020,2020-03-26,0,Allegan
Allegan,3/27/2020,2020-03-27,5,Allegan
Allegan,3/28/2020,2020-03-28,1,Allegan
Allegan,3/29/2020,2020-03-29,0,Allegan
Allegan,3/30/2020,2020-03-30,3,Allegan
Allegan,3/31/2020,2020-03-31,1,Allegan
Allegan,4/1/2020,2020-04-01,1,Allegan
Allegan,4/2/2020,2020-04-02,2,Allegan
Allegan,4/3/2020,2020-04-03,5,Allegan
Allegan,4/4/2020,2020-04-04,2,Allegan
Allegan,4/5/2020,2020-04-05,0,Allegan
Allegan,4/6/2020,2020-04-06,1,Allegan
Allegan,4/7/2020,2020-04-07,1,Allegan
Allegan,4/8/2020,2020-04-08,2,Allegan
Allegan,4/9/2020,2020-04-09,1,Allegan
Allegan,4/10/2020,2020-04-10,7,Allegan
Allegan,4/11/2020,2020-04-11,3,Allegan
Allegan,4/12/2020,2020-04-12,8,Allegan
Allegan,4/13/2020,2020-04-13,7,Allegan
Allegan,4/14/2020,2020-04-14,4,Allegan
Allegan,4/15/2020,2020-04-15,4,Allegan
Allegan,4/16/2020,2020-04-16,7,Allegan
Allegan,4/17/2020,2020-04-17,3,Allegan
Allegan,4/18/2020,2020-04-18,5,Allegan
Allegan,4/19/2020,2020-04-19,4,Allegan
Allegan,4/20/2020,2020-04-20,5,Allegan
Allegan,4/21/2020,2020-04-21,9,Allegan
Allegan,4/22/2020,2020-04-22,3,Allegan
Allegan,4/23/2020,2020-04-23,8,Allegan
Allegan,4/24/2020,2020-04-24,7,Allegan
Allegan,4/25/2020,2020-04-25,6,Allegan
Allegan,4/26/2020,2020-04-26,6,Allegan
Allegan,4/27/2020,2020-04-27,2,Allegan
Allegan,4/28/2020,2020-04-28,10,Allegan
Allegan,4/29/2020,2020-04-29,3,Allegan
Allegan,4/30/2020,2020-04-30,10,Allegan
Allegan,5/1/2020,2020-05-01,8,Allegan
Allegan,5/2/2020,2020-05-02,4,Allegan
Allegan,5/3/2020,2020-05-03,2,Allegan
Allegan,5/4/2020,2020-05-04,6,Allegan
Allegan,5/5/2020,2020-05-05,7,Allegan
Allegan,5/6/2020,2020-05-06,5,Allegan
Allegan,5/7/2020,2020-05-07,4,Allegan
Allegan,5/8/2020,2020-05-08,4,Allegan
Allegan,5/9/2020,2020-05-09,2,Allegan
Allegan,5/10/2020,2020-05-10,3,Allegan
Allegan,5/11/2020,2020-05-11,8,Allegan
Allegan,5/12/2020,2020-05-12,6,Allegan
Allegan,5/13/2020,2020-05-13,5,Allegan
Allegan,5/14/2020,2020-05-14,6,Allegan
Allegan,5/15/2020,2020-05-15,1,Allegan
Allegan,5/16/2020,2020-05-16,3,Allegan
Allegan,5/17/2020,2020-05-17,0,Allegan
Allegan,5/18/2020,2020-05-18,8,Allegan
Allegan,5/19/2020,2020-05-19,4,Allegan
Allegan,5/20/2020,2020-05-20,1,Allegan
Allegan,5/21/2020,2020-05-21,2,Allegan
Allegan,5/22/2020,2020-05-22,2,Allegan
Allegan,5/23/2020,2020-05-23,3,Allegan
Allegan,5/24/2020,2020-05-24,1,Allegan
Allegan,5/25/2020,2020-05-25,0,Allegan
Allegan,5/26/2020,2020-05-26,2,Allegan
Allegan,5/27/2020,2020-05-27,4,Allegan
Allegan,5/28/2020,2020-05-28,1,Allegan
Allegan,5/29/2020,2020-05-29,4,Allegan
Allegan,5/30/2020,2020-05-30,1,Allegan
Allegan,5/31/2020,2020-05-31,2,Allegan
Allegan,6/1/2020,2020-06-01,2,Allegan
Allegan,6/2/2020,2020-06-02,1,Allegan
Allegan,6/3/2020,2020-06-03,4,Allegan
Allegan,6/4/2020,2020-06-04,4,Allegan
Allegan,6/5/2020,2020-06-05,2,Allegan
Allegan,6/6/2020,2020-06-06,1,Allegan
Allegan,6/7/2020,2020-06-07,2,Allegan
Allegan,6/8/2020,2020-06-08,0,Allegan
Allegan,6/9/2020,2020-06-09,6,Allegan
Allegan,6/10/2020,2020-06-10,1,Allegan
Allegan,6/11/2020,2020-06-11,2,Allegan
Allegan,6/12/2020,2020-06-12,1,Allegan
Allegan,6/13/2020,2020-06-13,1,Allegan
Allegan,6/14/2020,2020-06-14,2,Allegan
Allegan,6/15/2020,2020-06-15,0,Allegan
Allegan,6/16/2020,2020-06-16,2,Allegan
Allegan,6/17/2020,2020-06-17,4,Allegan
Allegan,6/18/2020,2020-06-18,3,Allegan
Allegan,6/19/2020,2020-06-19,2,Allegan
Allegan,6/20/2020,2020-06-20,0,Allegan
Allegan,6/21/2020,2020-06-21,2,Allegan
Allegan,6/22/2020,2020-06-22,1,Allegan
Allegan,6/23/2020,2020-06-23,4,Allegan
Allegan,6/24/2020,2020-06-24,4,Allegan
Allegan,6/25/2020,2020-06-25,3,Allegan
Allegan,6/26/2020,2020-06-26,1,Allegan
Allegan,6/27/2020,2020-06-27,1,Allegan
Allegan,6/28/2020,2020-06-28,3,Allegan
Allegan,6/29/2020,2020-06-29,3,Allegan
Allegan,6/30/2020,2020-06-30,3,Allegan
Allegan,7/1/2020,2020-07-01,5,Allegan
Allegan,7/2/2020,2020-07-02,2,Allegan
Allegan,7/3/2020,2020-07-03,2,Allegan
Allegan,7/4/2020,2020-07-04,3,Allegan
Allegan,7/5/2020,2020-07-05,0,Allegan
Allegan,7/6/2020,2020-07-06,0,Allegan
Alpena,3/1/2020,2020-03-01,0,Alpena
Alpena,3/2/2020,2020-03-02,0,Alpena
Alpena,3/3/2020,2020-03-03,0,Alpena
Alpena,3/4/2020,2020-03-04,0,Alpena
Alpena,3/5/2020,2020-03-05,0,Alpena
Alpena,3/6/2020,2020-03-06,0,Alpena
Alpena,3/7/2020,2020-03-07,0,Alpena
Alpena,3/8/2020,2020-03-08,0,Alpena
Alpena,3/9/2020,2020-03-09,0,Alpena
Alpena,3/10/2020,2020-03-10,0,Alpena
Alpena,3/11/2020,2020-03-11,0,Alpena
Alpena,3/12/2020,2020-03-12,0,Alpena
Alpena,3/13/2020,2020-03-13,0,Alpena
Alpena,3/14/2020,2020-03-14,0,Alpena
Alpena,3/15/2020,2020-03-15,0,Alpena
Alpena,3/16/2020,2020-03-16,0,Alpena
Alpena,3/17/2020,2020-03-17,0,Alpena
Alpena,3/18/2020,2020-03-18,0,Alpena
Alpena,3/19/2020,2020-03-19,0,Alpena
Alpena,3/20/2020,2020-03-20,0,Alpena
Alpena,3/21/2020,2020-03-21,0,Alpena
Alpena,3/22/2020,2020-03-22,0,Alpena
Alpena,3/23/2020,2020-03-23,0,Alpena
Alpena,3/24/2020,2020-03-24,0,Alpena
Alpena,3/25/2020,2020-03-25,0,Alpena
Alpena,3/26/2020,2020-03-26,0,Alpena
Alpena,3/27/2020,2020-03-27,0,Alpena
Alpena,3/28/2020,2020-03-28,0,Alpena
Alpena,3/29/2020,2020-03-29,1,Alpena
Alpena,3/30/2020,2020-03-30,0,Alpena
Alpena,3/31/2020,2020-03-31,0,Alpena
Alpena,4/1/2020,2020-04-01,0,Alpena
Alpena,4/2/2020,2020-04-02,0,Alpena
Alpena,4/3/2020,2020-04-03,0,Alpena
Alpena,4/4/2020,2020-04-04,0,Alpena
Alpena,4/5/2020,2020-04-05,0,Alpena
Alpena,4/6/2020,2020-04-06,0,Alpena
Alpena,4/7/2020,2020-04-07,0,Alpena
Alpena,4/8/2020,2020-04-08,0,Alpena
Alpena,4/9/2020,2020-04-09,0,Alpena
Alpena,4/10/2020,2020-04-10,1,Alpena
Alpena,4/11/2020,2020-04-11,2,Alpena
Alpena,4/12/2020,2020-04-12,1,Alpena
Alpena,4/13/2020,2020-04-13,6,Alpena
Alpena,4/14/2020,2020-04-14,1,Alpena
Alpena,4/15/2020,2020-04-15,6,Alpena
Alpena,4/16/2020,2020-04-16,9,Alpena
Alpena,4/17/2020,2020-04-17,7,Alpena
Alpena,4/18/2020,2020-04-18,22,Alpena
Alpena,4/19/2020,2020-04-19,2,Alpena
Alpena,4/20/2020,2020-04-20,6,Alpena
Alpena,4/21/2020,2020-04-21,4,Alpena
Alpena,4/22/2020,2020-04-22,4,Alpena
Alpena,4/23/2020,2020-04-23,1,Alpena
Alpena,4/24/2020,2020-04-24,3,Alpena
