OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
36,2020/04/19 14:00:00+00,33,1047,1733,1392,113,33,313,131,370,21,591,4,210,515,18,2507,3345,25,10,105,19,117,145,33,0
37,2020/04/20 14:00:00+00,32,1098,1875,1511,114,39,335,134,392,23,616,4,226,538,28,2647,3583,26,11,107,22,123,166,34,0
38,2020/04/21 14:00:00+00,56,1157,1925,1542,116,41,330,134,401,25,632,4,232,565,29,2768,3734,27,11,107,22,126,176,33,0
39,2020/04/22 14:00:00+00,58,1190,2012,1602,118,41,344,134,427,28,658,4,267,592,36,2868,3875,31,11,112,23,127,183,34,0
40,2020/04/23 14:00:00+00,77,1294,2132,1672,121,50,355,140,442,31,690,4,280,618,64,3060,4141,33,12,115,25,139,203,39,0
41,2020/04/24 14:00:00+00,90,1373,2234,1728,125,55,372,144,459,32,765,4,289,642,67,3227,4403,43,13,119,23,143,222,44,0
42,2020/04/25 14:00:00+00,105,1430,2387,1791,130,61,384,146,483,38,814,4,302,686,67,3483,4795,52,14,124,28,154,242,46,0
43,2020/04/26 14:00:00+00,113,1510,2509,1866,134,63,391,154,504,46,834,4,319,707,68,3645,4987,53,16,133,34,173,270,48,0
44,2020/04/27 14:00:00+00,114,1544,2548,1933,138,68,403,163,529,51,865,4,352,778,70,3843,5263,54,19,144,34,181,336,53,0
45,2020/04/28 14:00:00+00,115,1571,2631,1977,139,69,416,163,539,52,870,4,358,802,73,4003,5496,55,20,145,34,187,340,54,0
46,2020/04/29 14:00:00+00,116,1662,2740,2014,142,69,421,164,551,51,893,4,371,831,73,4152,5738,55,21,145,34,197,350,55,0
47,2020/04/30 14:00:00+00,118,1725,2831,2068,150,71,436,167,564,51,918,4,414,867,79,4300,6043,52,26,150,35,206,406,61,0
48,2020/05/01 14:00:00+00,118,1807,3013,2162,161,74,460,176,611,54,942,4,437,896,86,4754,6735,52,30,159,35,216,425,65,0
