COUNTY,CASE_STATUS,Cases,Deaths,Updated
Marquette,Confirmed,65,11,2020/07/01 13:06:42
Mason,Confirmed,47,0,2020/07/01 13:06:42
Mason,Probable,6,0,2020/07/01 13:06:42
Mecosta,Confirmed,26,2,2020/07/01 13:06:42
Mecosta,Probable,3,0,2020/07/01 13:06:42
Menominee,Confirmed,15,0,2020/07/01 13:06:42
Menominee,Probable,1,0,2020/07/01 13:06:42
Midland,Confirmed,127,9,2020/07/01 13:06:42
Midland,Probable,42,0,2020/07/01 13:06:42
Missaukee,Confirmed,20,1,2020/07/01 13:06:42
Missaukee,Probable,9,0,2020/07/01 13:06:42
Monroe,Confirmed,532,20,2020/07/01 13:06:42
Monroe,Probable,86,1,2020/07/01 13:06:42
Montcalm,Confirmed,85,1,2020/07/01 13:06:42
Montcalm,Probable,6,0,2020/07/01 13:06:42
Montmorency,Confirmed,5,0,2020/07/01 13:06:42
Muskegon,Confirmed,807,51,2020/07/01 13:06:42
Muskegon,Probable,14,0,2020/07/01 13:06:42
Newaygo,Confirmed,164,0,2020/07/01 13:06:42
Newaygo,Probable,5,0,2020/07/01 13:06:42
Oakland,Confirmed,8922,1049,2020/07/01 13:06:42
Oakland,Probable,3129,42,2020/07/01 13:06:42
Oceana,Confirmed,283,3,2020/07/01 13:06:42
Oceana,Probable,9,0,2020/07/01 13:06:42
Ogemaw,Confirmed,23,2,2020/07/01 13:06:42
Ogemaw,Probable,10,0,2020/07/01 13:06:42
Osceola,Confirmed,24,0,2020/07/01 13:06:42
Osceola,Probable,5,0,2020/07/01 13:06:42
Oscoda,Confirmed,15,1,2020/07/01 13:06:42
Oscoda,Probable,5,0,2020/07/01 13:06:42
Otsego,Confirmed,104,10,2020/07/01 13:06:42
Otsego,Probable,18,0,2020/07/01 13:06:42
Ottawa,Confirmed,972,46,2020/07/01 13:06:42
Ottawa,Probable,74,5,2020/07/01 13:06:42
Out-of-State,Confirmed,37,0,2020/07/01 13:06:42
Out-of-State,Probable,1,0,2020/07/01 13:06:42
Presque Isle,Confirmed,13,0,2020/07/01 13:06:42
Roscommon,Confirmed,23,0,2020/07/01 13:06:42
Roscommon,Probable,5,0,2020/07/01 13:06:42
Saginaw,Confirmed,1230,120,2020/07/01 13:06:42
Saginaw,Probable,62,3,2020/07/01 13:06:42
Sanilac,Confirmed,47,5,2020/07/01 13:06:42
Sanilac,Probable,2,1,2020/07/01 13:06:42
Schoolcraft,Confirmed,4,0,2020/07/01 13:06:42
Shiawassee,Confirmed,250,27,2020/07/01 13:06:42
Shiawassee,Probable,23,1,2020/07/01 13:06:42
St Clair,Confirmed,493,49,2020/07/01 13:06:42
St Clair,Probable,68,1,2020/07/01 13:06:42
St Joseph,Confirmed,297,4,2020/07/01 13:06:42
St Joseph,Probable,30,0,2020/07/01 13:06:42
Tuscola,Confirmed,227,26,2020/07/01 13:06:42
Tuscola,Probable,5,0,2020/07/01 13:06:42
Unknown,Confirmed,3,0,2020/07/01 13:06:42
Unknown,Probable,1,0,2020/07/01 13:06:42
Van Buren,Confirmed,204,7,2020/07/01 13:06:42
Van Buren,Probable,26,1,2020/07/01 13:06:42
Washtenaw,Confirmed,1493,105,2020/07/01 13:06:42
Washtenaw,Probable,219,0,2020/07/01 13:06:42
Wayne,Confirmed,10333,1161,2020/07/01 13:06:42
Wayne,Probable,401,36,2020/07/01 13:06:42
Wexford,Confirmed,26,4,2020/07/01 13:06:42
Wexford,Probable,2,0,2020/07/01 13:06:42
